id	Fu	Ag	Ex	Re	Vi
0	7.522415436346908	3.050580518874381	3.9980638653446765	8.582306312370454	2.707241078045371
1	7.658380825287503	4.820703103477169	2.5555670851728705	6.664915444307471	4.495328669692497
2	10.166963806863961	4.818726186368448	5.862913045947134	5.081746020033053	1.1553442109209786
3	1.2036038628563206	2.087166690671898	8.488637816960951	2.809332647504186	8.458250993539872
4	11.854428356629759	6.365983161219013	3.540041744306766	0.7901116711848761	6.33977628480398
5	6.782957449128002	4.4184525621276896	2.5787643655870727	3.0313766262842923	13.131681554147614
6	2.679725857991288	5.03473939841588	3.410611890579199	8.487351020301816	5.782884599386324
7	8.210426152481245	3.015624630938301	5.233789309342526	1.4162976753168979	5.965532605173307
8	2.1863260617745843	0.13081454227007236	8.328096094176258	10.493714324550352	6.431307992948921
9	2.5818411744679888	4.762477072577672	9.252343019501273	6.608254997174525	2.031518852659909
