id	Fu	Ag	Ex	Re	Vi
0	0.15178439687702708	1.753065168253394	2.591559759743747	3.2856523608811337	0.4531539407160334
1	1.5663864556588252	2.9881879858036853	0.6172399843576923	0.971997463425301	3.0986140589878577
2	1.9533760490097034	1.6334756424374788	2.0311355877666677	0.5940209328948464	1.980386988570231
3	3.2723033881796364	0.22033037170793116	2.2719678034332427	1.573087483723613	1.320946421004093
4	3.160040200852927	1.822720303890866	1.722582663830231	0.05882559929964571	0.8350616208139342
5	1.0027884744885867	2.303352117693724	0.13374671302867042	3.066165150074662	3.12493165323778
6	0.2959891637442536	1.389125331669075	2.7175240169149544	2.3508563601003956	1.9147465896364402
7	2.0622359989251593	2.6283459308499815	2.040991835173364	0.23647277004732783	1.601377845547541
8	0.9521294711982059	0.5930355264422698	2.7031176084286046	2.453032525556546	2.6040367346466375
9	0.7526358346076893	0.6338531454741582	2.373279378329126	1.691358099882467	2.4695326509874853
